EPSG,ESRI
2051,"PROJCS[""Hartebeesthoek94_Lo25"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",25],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2052,"PROJCS[""Hartebeesthoek94_Lo27"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",27],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2053,"PROJCS[""Hartebeesthoek94_Lo29"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",29],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2054,"PROJCS[""Hartebeesthoek94_Lo31"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",31],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2055,"PROJCS[""Hartebeesthoek94_Lo33"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",33],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2056,"PROJCS[""CH1903+_LV95"",GEOGCS[""GCS_CH1903+"",DATUM[""D_CH1903+"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Hotine_Oblique_Mercator_Azimuth_Center""],PARAMETER[""latitude_of_center"",46.95240555555556],PARAMETER[""longitude_of_center"",7.439583333333333],PARAMETER[""azimuth"",90],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",2600000],PARAMETER[""false_northing"",1200000],UNIT[""Meter"",1]]"
2057,"PROJCS[""Rassadiran_Nakhl_e_Taqi"",GEOGCS[""GCS_Rassadiran"",DATUM[""D_Rassadiran"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Hotine_Oblique_Mercator_Azimuth_Center""],PARAMETER[""latitude_of_center"",27.51882880555555],PARAMETER[""longitude_of_center"",52.60353916666667],PARAMETER[""azimuth"",0.5716611944444444],PARAMETER[""scale_factor"",0.999895934],PARAMETER[""false_easting"",658377.437],PARAMETER[""false_northing"",3044969.194],UNIT[""Meter"",1]]"
2058,"PROJCS[""ED50_ED77_UTM_zone_38N"",GEOGCS[""GCS_ED50(ED77)"",DATUM[""D_European_1950_ED77"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",45],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2059,"PROJCS[""ED50_ED77_UTM_zone_39N"",GEOGCS[""GCS_ED50(ED77)"",DATUM[""D_European_1950_ED77"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",51],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2060,"PROJCS[""ED50_ED77_UTM_zone_40N"",GEOGCS[""GCS_ED50(ED77)"",DATUM[""D_European_1950_ED77"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",57],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2061,"PROJCS[""ED50_ED77_UTM_zone_41N"",GEOGCS[""GCS_ED50(ED77)"",DATUM[""D_European_1950_ED77"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",63],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2062,"PROJCS[""Madrid_1870_Madrid_Spain"",GEOGCS[""GCS_Madrid 1870 (Madrid)"",DATUM[""D_Madrid_1870"",SPHEROID[""Struve_1860"",6378298.3,294.73]],PRIMEM[""Madrid"",-3.687938888888889],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""latitude_of_origin"",40],PARAMETER[""central_meridian"",0],PARAMETER[""scale_factor"",0.9988085293],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",600000],UNIT[""Meter"",1],PARAMETER[""standard_parallel_1"",40]]"
2063,"PROJCS[""Dabola_1981_UTM_zone_28N_deprecated"",GEOGCS[""GCS_Conakry 1905"",DATUM[""D_Conakry_1905"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-15],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2064,"PROJCS[""Dabola_1981_UTM_zone_29N_deprecated"",GEOGCS[""GCS_Conakry 1905"",DATUM[""D_Conakry_1905"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-9],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2065,"PROJCS[""S_JTSK_Ferro_Krovak"",GEOGCS[""GCS_S-JTSK (Ferro)"",DATUM[""D_S_JTSK"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Ferro"",-17.66666666666667],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Krovak""],PARAMETER[""latitude_of_center"",49.5],PARAMETER[""longitude_of_center"",42.5],PARAMETER[""azimuth"",30.28813972222222],PARAMETER[""pseudo_standard_parallel_1"",78.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2066,"PROJCS[""Mount_Dillon_Tobago_Grid"",GEOGCS[""GCS_Mount Dillon"",DATUM[""D_Mount_Dillon"",SPHEROID[""Clarke_1858"",6378293.645208759,294.2606763692569]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Cassini""],PARAMETER[""latitude_of_origin"",11.25217861111111],PARAMETER[""central_meridian"",-60.68600888888889],PARAMETER[""false_easting"",187500],PARAMETER[""false_northing"",180000],UNIT[""Clarke's link"",0.201166195164],PARAMETER[""scale_factor"",1.0]]"
2067,"PROJCS[""Naparima_1955_UTM_zone_20N"",GEOGCS[""GCS_Naparima 1955"",DATUM[""D_Naparima_1955"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-63],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2068,"PROJCS[""ELD79_Libya_zone_5"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",9],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2069,"PROJCS[""ELD79_Libya_zone_6"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",11],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2070,"PROJCS[""ELD79_Libya_zone_7"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",13],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2071,"PROJCS[""ELD79_Libya_zone_8"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",15],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2072,"PROJCS[""ELD79_Libya_zone_9"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",17],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2073,"PROJCS[""ELD79_Libya_zone_10"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",19],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2074,"PROJCS[""ELD79_Libya_zone_11"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",21],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2075,"PROJCS[""ELD79_Libya_zone_12"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",23],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2076,"PROJCS[""ELD79_Libya_zone_13"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",25],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2077,"PROJCS[""ELD79_UTM_zone_32N"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",9],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2078,"PROJCS[""ELD79_UTM_zone_33N"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",15],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2079,"PROJCS[""ELD79_UTM_zone_34N"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",21],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2080,"PROJCS[""ELD79_UTM_zone_35N"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",27],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2081,"PROJCS[""Chos_Malal_1914_Argentina_2"",GEOGCS[""GCS_Chos Malal 1914"",DATUM[""D_Chos_Malal_1914"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-69],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2082,"PROJCS[""Pampa_del_Castillo_Argentina_2"",GEOGCS[""GCS_Pampa del Castillo"",DATUM[""D_Pampa_del_Castillo"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-69],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2083,"PROJCS[""Hito_XVIII_1963_Argentina_2"",GEOGCS[""GCS_Hito XVIII 1963"",DATUM[""D_Hito_XVIII_1963"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-69],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2084,"PROJCS[""Hito_XVIII_1963_UTM_zone_19S"",GEOGCS[""GCS_Hito XVIII 1963"",DATUM[""D_Hito_XVIII_1963"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-69],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",10000000],UNIT[""Meter"",1]]"
2085,"PROJCS[""NAD27_Cuba_Norte_deprecated"",GEOGCS[""GCS_North_American_1927"",DATUM[""D_North_American_1927"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""latitude_of_origin"",22.35],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.99993602],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",280296.016],UNIT[""Meter"",1],PARAMETER[""standard_parallel_1"",22.35]]"
2086,"PROJCS[""NAD27_Cuba_Sur_deprecated"",GEOGCS[""GCS_North_American_1927"",DATUM[""D_North_American_1927"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""latitude_of_origin"",20.71666666666667],PARAMETER[""central_meridian"",-76.83333333333333],PARAMETER[""scale_factor"",0.99994848],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",229126.939],UNIT[""Meter"",1],PARAMETER[""standard_parallel_1"",20.71666666666667]]"
2087,"PROJCS[""ELD79_TM_12_NE"",GEOGCS[""GCS_ELD79"",DATUM[""D_European_Libyan_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",12],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2088,"PROJCS[""Carthage_TM_11_NE"",GEOGCS[""GCS_Carthage"",DATUM[""D_Carthage"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",11],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2089,"PROJCS[""Yemen_NGN96_UTM_zone_38N"",GEOGCS[""GCS_Yemen NGN96"",DATUM[""D_Yemen_NGN_1996"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",45],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2090,"PROJCS[""Yemen_NGN96_UTM_zone_39N"",GEOGCS[""GCS_Yemen NGN96"",DATUM[""D_Yemen_NGN_1996"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",51],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2091,"PROJCS[""South_Yemen_Gauss_Kruger_zone_8_deprecated"",GEOGCS[""GCS_South Yemen"",DATUM[""D_South_Yemen"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",45],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",8500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2092,"PROJCS[""South_Yemen_Gauss_Kruger_zone_9_deprecated"",GEOGCS[""GCS_South Yemen"",DATUM[""D_South_Yemen"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",51],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",9500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2093,"PROJCS[""Hanoi_1972_GK_106_NE"",GEOGCS[""GCS_Hanoi 1972"",DATUM[""D_Hanoi_1972"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",106],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2094,"PROJCS[""WGS_72BE_TM_106_NE"",GEOGCS[""GCS_WGS 72BE"",DATUM[""D_WGS_1972_BE"",SPHEROID[""WGS_1972"",6378135,298.26]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",106],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2095,"PROJCS[""Bissau_UTM_zone_28N"",GEOGCS[""GCS_Bissau"",DATUM[""D_Bissau"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-15],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2096,"PROJCS[""Korean_1985_East_Belt"",GEOGCS[""GCS_Korean 1985"",DATUM[""D_Korean_Datum_1985"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38],PARAMETER[""central_meridian"",129],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",500000],UNIT[""Meter"",1]]"
2097,"PROJCS[""Korean_1985_Central_Belt"",GEOGCS[""GCS_Korean 1985"",DATUM[""D_Korean_Datum_1985"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38],PARAMETER[""central_meridian"",127],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",500000],UNIT[""Meter"",1]]"
2098,"PROJCS[""Korean_1985_West_Belt"",GEOGCS[""GCS_Korean 1985"",DATUM[""D_Korean_Datum_1985"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38],PARAMETER[""central_meridian"",125],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",500000],UNIT[""Meter"",1]]"
2099,"PROJCS[""Qatar_1948_Qatar_Grid"",GEOGCS[""GCS_Qatar 1948"",DATUM[""D_Qatar_1948"",SPHEROID[""Helmert_1906"",6378200,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Cassini""],PARAMETER[""latitude_of_origin"",25.38236111111111],PARAMETER[""central_meridian"",50.76138888888889],PARAMETER[""false_easting"",100000],PARAMETER[""false_northing"",100000],UNIT[""Meter"",1],PARAMETER[""scale_factor"",1.0]]"
2100,"PROJCS[""GGRS87_Greek_Grid"",GEOGCS[""GCS_GGRS87"",DATUM[""D_GGRS_1987"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",24],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
