EPSG,ESRI
2041,"PROJCS[""Abidjan_1987_UTM_zone_30N"",GEOGCS[""GCS_Abidjan 1987"",DATUM[""D_Abidjan_1987"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2042,"PROJCS[""Locodjo_1965_UTM_zone_29N"",GEOGCS[""GCS_Locodjo 1965"",DATUM[""D_Locodjo_1965"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-9],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2043,"PROJCS[""Abidjan_1987_UTM_zone_29N"",GEOGCS[""GCS_Abidjan 1987"",DATUM[""D_Abidjan_1987"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-9],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2044,"PROJCS[""Hanoi_1972_Gauss_Kruger_zone_18"",GEOGCS[""GCS_Hanoi 1972"",DATUM[""D_Hanoi_1972"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",105],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",18500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2045,"PROJCS[""Hanoi_1972_Gauss_Kruger_zone_19"",GEOGCS[""GCS_Hanoi 1972"",DATUM[""D_Hanoi_1972"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",111],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",19500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2046,"PROJCS[""Hartebeesthoek94_Lo15"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",15],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2047,"PROJCS[""Hartebeesthoek94_Lo17"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",17],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2048,"PROJCS[""Hartebeesthoek94_Lo19"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",19],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2049,"PROJCS[""Hartebeesthoek94_Lo21"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",21],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2050,"PROJCS[""Hartebeesthoek94_Lo23"",GEOGCS[""GCS_Hartebeesthoek94"",DATUM[""D_Hartebeesthoek_1994"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator_South_Orientated""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",23],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
